#Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	NCBI gene accession
ENSG00000119912	10	92451684	92574093	IDE
ENSG00000138413	2	208236227	208266074	IDH1
ENSG00000182054	15	90083045	90102504	IDH2
ENSG00000131203	8	39902275	39928790	IDO1
ENSG00000010404149476988	149521096	IDS
ENSG00000127415	4	986997	1004564	IDUA
ENSG00000275214	CHR_HSCHR14_7_CTG1	94104836	94116698	IFI27
ENSG00000165949	14	94104836	94116698	IFI27
ENSG00000185745	10	89392546	89406487	IFIT1
ENSG00000197919	9	21440439	21441316	IFNA1
ENSG00000188379	9	21384255	21385398	IFNA2
ENSG00000142166	21	33324429	33359864	IFNAR1
ENSG00000159110	21	33229901	33265675	IFNAR2
ENSG00000171855	9	21077104	21077942	IFNB1
ENSG00000111537	12	68154768	68159740	IFNG
ENSG00000027697	6	137197484	137219449	IFNGR1
ENSG00000017427	12	102395874	102481744	IGF1
ENSG00000140443	15	98648539	98964530	IGF1R
ENSG00000167244	11	2129112	2141238	IGF2
ENSG00000197081	6	159969099	160113507	IGF2R
ENSG00000099769	16	1790413	1794971	IGFALS
ENSG00000146678	7	45888360	45893660	IGFBP1
ENSG00000115457	2	216632828	216664436	IGFBP2
ENSG00000146674	7	45912245	45921874	IGFBP3
ENSG00000115461	2	216672105	216695549	IGFBP5
ENSG00000167779	12	53097436	53102345	IGFBP6
ENSG00000163453	4	57030773	57110385	IGFBP7
ENSG00000132740	11	68903842	68940602	IGHMBP2
ENSG00000163501	2	219054424	219060921	IHH
ENSG00000104365	8	42271302	42332653	IKBKB
ENSG00000136634	1	206767602	206774541	IL10
ENSG00000110324	11	117986348	118003037	IL10RA
ENSG00000243646	21	33266367	33310187	IL10RB
ENSG00000095752	19	55364382	55370463	IL11
ENSG00000137070	9	34650702	34661892	IL11RA
ENSG00000168811	3	159988835	159996019	IL12A
ENSG00000113302	5	159314780	159330487	IL12B
ENSG00000096996	19	18058995	18098944	IL12RB1
ENSG00000169194	5	132656263	132661110	IL13
ENSG00000164136	4	141636583	141733987	IL15
ENSG00000172349	15	81159575	81314058	IL16
ENSG00000112115	6	52186375	52190638	IL17A
ENSG00000150782	11	112143253	112164096	IL18
ENSG00000115008	2	112773925	112784493	IL1A
ENSG00000125538	2	112829751	112836816	IL1B
ENSG00000115594	2	102064544	102179874	IL1R1
ENSG00000136689	2	113107214	113134016	IL1RN
ENSG00000109471	4	122451470	122456725	IL2
ENSG00000134460	10	6010689	6062370	IL2RA
ENSG00000100385	22	37125843	37175054	IL2RB
ENSG0000014716871107404	71112108	IL2RG
ENSG00000164399	5	132060655	132063204	IL3
ENSG000001852911336616	1382689	IL3RA
ENSG00000113520	5	132673986	132682678	IL4
ENSG00000077238	16	27313668	27364778	IL4R
ENSG00000113525	5	132541445	132556838	IL5
ENSG00000136244	7	22725884	22732002	IL6
ENSG00000160712	1	154405193	154469450	IL6R
ENSG00000134352	5	55935095	55995022	IL6ST
ENSG00000104432	8	78675743	78805523	IL7
ENSG00000168685	5	35852695	35879603	IL7R
ENSG00000124334155997581	156010817	IL9R
ENSG00000143621	1	153661788	153671028	ILF2
ENSG00000166333	11	6603708	6610874	ILK
ENSG00000133731	8	81656914	81686331	IMPA1
ENSG00000141401	18	11981025	12030877	IMPA2
ENSG00000106348	7	128392277	128410252	IMPDH1
ENSG00000112706	6	75921114	76072678	IMPG1
ENSG00000153487	13	110712736	110723339	ING1
ENSG00000151689	2	190343570	190371665	INPP1
ENSG00000068383	10	132537787	132783480	INPP5A
ENSG00000165458	11	72223701	72239147	INPPL1
ENSG00000254647	11	2159779	2161341	INS
ENSG00000248099	19	17816512	17821574	INSL3
ENSG00000173404	20	20368104	20370949	INSM1
ENSG00000171105	19	7112255	7294414	INSR
ENSG00000065150	13	97953658	98024296	IPO5
ENSG00000184216154010506	154019902	IRAK1
ENSG00000125347	5	132481609	132490777	IRF1
ENSG00000126456	19	49659569	49665875	IRF3
ENSG00000137265	6	391752	411443	IRF4
ENSG00000128604	7	128937457	128950038	IRF5
ENSG00000117595	1	209785617	209806175	IRF6
ENSG00000276561	CHR_HSCHR11_1_CTG8	612805	616257	IRF7
ENSG00000185507	11	612553	615983	IRF7
ENSG00000140968	16	85899162	85922606	IRF8
ENSG00000169047	2	226731317	226799759	IRS1
ENSG00000016082	5	51383448	51394730	ISL1
ENSG00000005961	17	44372180	44389649	ITGA2B
ENSG00000005884	17	50055968	50090481	ITGA3
ENSG00000115232	2	181457202	181538940	ITGA4
ENSG00000161638	12	54395261	54419266	ITGA5
ENSG00000091409	2	172427354	172506459	ITGA6
ENSG00000135424	12	55684568	55716043	ITGA7
ENSG00000144668	3	37452115	37823507	ITGA9
ENSG00000005844	16	30472719	30523185	ITGAL
ENSG00000169896	16	31259967	31332892	ITGAM
ENSG00000140678	16	31355134	31382997	ITGAX
ENSG00000150093	10	32900318	33005792	ITGB1
ENSG00000160255	21	44885953	44931989	ITGB2
ENSG00000259207	17	47253846	47313735	ITGB3
ENSG00000132470	17	75721328	75757818	ITGB4
ENSG00000115221	2	160099667	160200313	ITGB6
ENSG00000055957	3	52777595	52792068	ITIH1
ENSG00000162267	3	52794768	52809009	ITIH3
ENSG00000055955	3	52812962	52830688	ITIH4
ENSG00000113263	5	157142933	157255191	ITK
ENSG00000125877	20	3208868	3223870	ITPA
ENSG00000150995	3	4493345	4847840	ITPR1
ENSG00000096433	6	33620365	33696574	ITPR3
ENSG00000128928	15	40405485	40435947	IVD
ENSG00000163207	1	152908546	152911886	IVL
ENSG00000101384	20	10637684	10673999	JAG1
ENSG00000184916	14	105140982	105168824	JAG2
ENSG00000162434	1	64833229	65067754	JAK1
ENSG00000096968	9	4984390	5128183	JAK2
ENSG00000105639	19	17824780	17848071	JAK3
ENSG00000008083	6	15246069	15522042	JARID2
ENSG00000177606	1	58780791	58784047	JUN
ENSG00000171223	19	12791486	12793315	JUNB
ENSG00000130522	19	18279694	18281622	JUND
ENSG00000173801	17	41754604	41786931	JUP
ENSG00000111262	12	4909905	4918256	KCNA1
ENSG00000177301	1	110519837	110631474	KCNA2
ENSG00000130037	12	5043879	5046788	KCNA5
ENSG00000158445	20	49293394	49484297	KCNB1
ENSG00000129159	11	17734774	17856804	KCNC1
ENSG00000131398	19	50311937	50333515	KCNC3
ENSG00000171385	1	111770662	111989155	KCND3
ENSG00000180509	21	34446688	34512210	KCNE1
ENSG00000143473	1	210676823	211134165	KCNH1
ENSG00000055118	7	150944961	150978321	KCNH2
ENSG00000151704	11	128836315	128867373	KCNJ1
ENSG00000177807	1	159998651	160070160	KCNJ10
ENSG00000187486	11	17385859	17389331	KCNJ11
ENSG00000115474	2	232765802	232776565	KCNJ13
ENSG00000123700	17	70168673	70180044	KCNJ2
ENSG00000162989	2	154697855	154858354	KCNJ3
ENSG00000120457	11	128891356	128921163	KCNJ5
ENSG00000157542	21	37607373	38121345	KCNJ6
ENSG00000121361	12	21764955	21775600	KCNJ8
ENSG00000082482	1	215005775	215237093	KCNK2
ENSG00000171303	2	26692690	26733420	KCNK3
ENSG00000156113	10	76869601	77638369	KCNMA1
ENSG00000145936	5	170374671	170389634	KCNMB1
ENSG00000143603	1	154697455	154870281	KCNN3
ENSG00000104783	19	43766533	43781257	KCNN4
ENSG00000053918	11	2444684	2849105	KCNQ1
ENSG00000282076	CHR_HSCHR11_1_CTG7	2768844	2849088	KCNQ1
ENSG00000281151	CHR_HSCHR20_1_CTG4	63414903	63466150	KCNQ2
ENSG00000075043	20	63400210	63472677	KCNQ2
ENSG00000184156	8	132120859	132481095	KCNQ3
ENSG00000124134	20	45091214	45101127	KCNS1
ENSG00000170745	2	17877847	18361616	KCNS3
ENSG00000128052	4	55078481	55125595	KDR
ENSG00000119537	18	63327726	63367228	KDSR
ENSG00000138030	2	27086747	27100762	KHK
ENSG00000138160	10	92593130	92655395	KIF11
ENSG00000130294	2	240713761	240821036	KIF1A
ENSG00000079616	16	29790719	29805385	KIF22
ENSG00000068796	5	62306162	62537249	KIF2A
ENSG00000155980	12	57550044	57586633	KIF5A
ENSG00000170759	10	32009015	32056425	KIF5B
ENSG00000276734	CHR_HSCHR2_2_CTG7_2	148937284	149030199	KIF5C
ENSG00000168280	2	148875227	149026759	KIF5C
ENSG00000275486	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54816441	54830746	KIR3DL1
ENSG00000274146	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54802891	54817199	KIR3DL1
ENSG00000277175	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1	54816466	54830808	KIR3DL1
ENSG00000274920	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54860886	54875194	KIR3DL1
ENSG00000278368	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54816432	54830744	KIR3DL1
ENSG00000278427	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54802842	54817184	KIR3DL1
ENSG00000278856	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54816482	54830789	KIR3DL1
ENSG00000274036	CHR_HSCHR19_4_CTG3_1	54824676	54838980	KIR3DL1
ENSG00000276423	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54802859	54817155	KIR3DL1
ENSG00000278079	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54816470	54830813	KIR3DL1
ENSG00000273518	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54816451	54830756	KIR3DL1
ENSG00000276501	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54861074	54875379	KIR3DL1
ENSG00000277272	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54816451	54830756	KIR3DL1
ENSG00000275659	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54814901	54878560	KIR3DL1
ENSG00000273775	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54816442	54830745	KIR3DL1
ENSG00000276329	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54861173	54875478	KIR3DL1
ENSG00000274948	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54816448	54830767	KIR3DL1
ENSG00000167633	19	54816468	54830778	KIR3DL1
ENSG00000275717	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54816473	54830785	KIR3DL1
ENSG00000276379	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54816496	54820397	KIR3DL1
ENSG00000275288	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54816438	54830737	KIR3DL1
ENSG00000275786	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54816499	54830812	KIR3DL1
ENSG00000275545	CHR_HSCHR19LRC_PGF1_CTG3_1	54746462	54760779	KIR3DL1
ENSG00000283954	CHR_HSCHR19KIR_0019-4656-A_CTG3_1	54816479	54830810	KIR3DL1
ENSG00000284426	CHR_HSCHR19KIR_CA01-TA01_1_CTG3_1	54816487	54830797	KIR3DL1
ENSG00000284177	CHR_HSCHR19KIR_CA01-TA01_2_CTG3_1	54816481	54830792	KIR3DL1
ENSG00000283731	CHR_HSCHR19KIR_502960008-1_CTG3_1	54816443	54830754	KIR3DL1
ENSG00000283729	CHR_HSCHR19KIR_502960008-2_CTG3_1	54816294	54830607	KIR3DL1
ENSG00000283827	CHR_HSCHR19KIR_7191059-1_CTG3_1	54816481	54830792	KIR3DL1
ENSG00000284589	CHR_HSCHR19KIR_HG2394_CTG3_1	54816470	54830783	KIR3DL1
ENSG00000284093	CHR_HSCHR19KIR_7191059-2_CTG3_1	54816446	54830759	KIR3DL1
ENSG00000284342	CHR_HSCHR19KIR_HG2396_CTG3_1	54802834	54817144	KIR3DL1
ENSG00000170498	1	204190341	204196491	KISS1
ENSG00000157404	4	54657918	54740715	KIT
ENSG00000049130	12	88492793	88580851	KITLG
ENSG00000102554	13	73054976	73077541	KLF5
ENSG00000067082	10	3775996	3785281	KLF6
ENSG00000119138	9	70384597	70414624	KLF9
ENSG00000167748	19	50819146	50823787	KLK1
ENSG00000167751	19	50861568	50880567	KLK2
ENSG00000142515	19	50854915	50860764	KLK3
ENSG00000164344	4	186208979	186258471	KLKB1
ENSG00000111796	12	9594551	9607916	KLRB1
ENSG00000118058	11	118436490	118526832	KMT2A
ENSG00000113889	3	186717348	186744410	KNG1
ENSG00000182481	17	68035708	68046854	KPNA2
ENSG00000102753	13	49699320	49792682	KPNA3
ENSG00000133703	12	25205246	25250936	KRAS
ENSG00000001631	7	92198969	92246166	KRIT1
ENSG00000167768	12	52674736	52680407	KRT1
ENSG00000186395	17	40818117	40822614	KRT10
ENSG00000263243	CHR_HSCHR17_4_CTG4	40861303	40867210	KRT12
ENSG00000187242	17	40861303	40867223	KRT12
ENSG00000171401	17	41500981	41505705	KRT13
ENSG00000186847	17	41582279	41586895	KRT14
ENSG00000186832	17	41609778	41615899	KRT16
ENSG00000128422	17	41619442	41624842	KRT17
ENSG00000111057	12	52948871	52952906	KRT18
ENSG00000171345	17	41523617	41528308	KRT19
ENSG00000172867	12	52644558	52652211	KRT2
ENSG00000186442	12	52789685	52796117	KRT3
ENSG00000170477	12	52806549	52814116	KRT4
ENSG00000186081	12	52514575	52520530	KRT5
ENSG00000205420	12	52487176	52493257	KRT6A
ENSG00000185479	12	52446651	52452146	KRT6B
ENSG00000135480	12	52232520	52252186	KRT7
ENSG00000170421	12	52897187	52949954	KRT8
ENSG00000205426	12	52285913	52291534	KRT81
ENSG00000170523	12	52314301	52321398	KRT83
ENSG00000170442	12	52249300	52309163	KRT86
ENSG00000171403	17	41565836	41572059	KRT9
ENSG00000286112	9	128819663	128881931	KYAT1
ENSG00000171097	9	128832942	128882494	KYAT1
ENSG00000198910153861514	153886173	L1CAM
ENSG00000196569	6	128883141	129516569	LAMA2
ENSG00000053747	18	23689443	23956222	LAMA3
ENSG00000112769	6	112107931	112254939	LAMA4
ENSG00000091136	7	107923799	108003187	LAMB1
ENSG00000172037	3	49121114	49133118	LAMB2
ENSG00000196878	1	209614870	209652425	LAMB3
ENSG00000135862	1	183023420	183145592	LAMC1
ENSG00000058085	1	183186238	183245127	LAMC2
ENSG00000005893120426148	120469365	LAMP2
ENSG00000002834	17	38869859	38921770	LASP1
ENSG00000129988	20	38346482	38377013	LBP
ENSG00000143815	1	225401502	225428925	LBR
ENSG00000213398	16	67939750	67944131	LCAT
ENSG00000148346	9	128149071	128153453	LCN2
ENSG00000134333	11	18394560	18408425	LDHA
ENSG00000288299	CHR_HG2111_PATCH	18397186	18411051	LDHA
ENSG00000111716	12	21635342	21757857	LDHB
ENSG00000130164	19	11089462	11133820	LDLR
ENSG00000174697	7	128241278	128257629	LEP
ENSG00000116678	1	65420652	65641559	LEPR
ENSG00000168924	4	1811479	1856156	LETM1
ENSG00000100097	22	37675636	37679802	LGALS1
ENSG00000131981	14	55124110	55145423	LGALS3
ENSG00000108679	17	78971238	78979947	LGALS3BP
ENSG00000205076	19	38770971	38773492	LGALS7
ENSG00000178934	19	38789200	38791754	LGALS7
ENSG00000282902	CHR_HG26_PATCH	38770969	38773523	LGALS7
ENSG00000283082	CHR_HG26_PATCH	38789280	38791794	LGALS7
ENSG00000104826	19	49015980	49017090	LHB
ENSG00000138039	2	48686774	48755730	LHCGR
ENSG00000128342	22	30240453	30246759	LIF
ENSG00000113594	5	38474668	38608354	LIFR
ENSG00000105486	19	48115445	48170603	LIG1
ENSG00000005156	17	34980512	35009743	LIG3
ENSG00000174405	13	108207439	108218368	LIG4
ENSG00000105370	19	51379909	51387960	LIM2
ENSG00000106683	7	74082933	74122525	LIMK1
ENSG00000107798	10	89213569	89414557	LIPA
ENSG00000166035	15	58410569	58569844	LIPC
ENSG00000079435	19	42401514	42427388	LIPE
ENSG00000073350	17	75525080	75575208	LLGL2
ENSG00000074695	18	59327823	59359265	LMAN1
ENSG00000160789	1	156082573	156140089	LMNA
ENSG00000113368	5	126776623	126837020	LMNB1
ENSG00000166407	11	8224309	8268716	LMO1
ENSG00000135363	11	33858576	33892076	LMO2
ENSG00000162761	1	165201867	165356715	LMX1A
ENSG00000136944	9	126614443	126701032	LMX1B
ENSG00000113441	5	96935394	97037513	LNPEP
ENSG00000203782	1	153259687	153262124	LOR
ENSG00000113083	5	122063195	122078360	LOX
ENSG00000129038	15	73925989	73952137	LOXL1
ENSG00000134013	8	23296897	23425328	LOXL2
ENSG00000198670	6	160531483	160664259	LPA
ENSG00000198121	9	110873263	111038458	LPAR1
ENSG00000175445	8	19901717	19967259	LPL
ENSG00000123384	12	57128483	57213361	LRP1
ENSG00000081479	2	169127109	169362534	LRP2
ENSG00000134569	11	46856717	46918642	LRP4
ENSG00000162337	11	68312591	68449275	LRP5
ENSG00000070018	12	12116025	12267044	LRP6
ENSG00000281324	CHR_HG1362_PATCH	12116025	12267044	LRP6
ENSG00000163956	4	3503612	3532446	LRPAP1
ENSG00000185565	3	115802363	117139389	LSAMP
ENSG00000130592	11	1852970	1892267	LSP1
ENSG00000288199	CHR_HG28_PATCH	1852970	1892267	LSP1
ENSG00000173503	CHR_HSCHR6_MHC_QBL_CTG1	31562278	31564550	LTA
ENSG00000223919	CHR_HSCHR6_MHC_DBB_CTG1	31554192	31556464	LTA
ENSG00000238130	CHR_HSCHR6_MHC_COX_CTG1	31559460	31561730	LTA
ENSG00000230279	CHR_HSCHR6_MHC_SSTO_CTG1	31562799	31565069	LTA
ENSG00000226979	6	31572054	31574324	LTA
ENSG00000231408	CHR_HSCHR6_MHC_MANN_CTG1	31611502	31613772	LTA
ENSG00000226275	CHR_HSCHR6_MHC_MCF_CTG1	31648357	31650629	LTA
ENSG00000111144	12	96000753	96043520	LTA4H
ENSG00000119681	14	74498183	74612378	LTBP2
ENSG00000168056	11	65538805	65558930	LTBP3
ENSG00000213316	5	179793980	179796647	LTC4S
ENSG00000283887	CHR_HG30_PATCH	179794850	179797517	LTC4S
ENSG00000012223	3	46435645	46485234	LTF
ENSG00000139329	12	91102629	91111494	LUM
ENSG00000104903	19	13099033	13103161	LYL1
ENSG00000143669	1	235661041	235883640	LYST
ENSG00000003056	12	8940361	8949761	M6PR
ENSG00000164109	4	120055623	120066858	MAD2L1
ENSG00000178573	16	79585843	79600737	MAF
ENSG00000198681153179284	153183880	MAGEA1
ENSG00000111837	6	10762723	10838555	MAK
ENSG00000172005	2	95025677	95053992	MAL
ENSG00000104774	19	12646511	12666742	MAN2B1
ENSG00000109323	4	102630770	102760994	MANBA
ENSG0000018922143654907	43746824	MAOA
ENSG0000006953543766610	43882450	MAOB
ENSG00000078018	2	209424058	209734118	MAP2
ENSG00000095015	5	56815549	56896152	MAP3K1
ENSG00000197442	6	136557046	136792477	MAP3K5
ENSG00000107968	10	30434021	30461833	MAP3K8
ENSG00000006432	14	70722526	70809534	MAP3K9
ENSG00000171533	11	75586918	75669120	MAP6
ENSG00000112062	6	36027677	36111236	MAPK14
ENSG00000277956	CHR_HSCHR17_2_CTG5	45906010	46039943	MAPT
ENSG00000186868	17	45894382	46028334	MAPT
ENSG00000276155	CHR_HSCHR17_1_CTG5	46069784	46203150	MAPT
ENSG00000277443	6	113857345	113863475	MARCKS
ENSG00000116141	1	220528183	220664461	MARK1
ENSG00000072518	11	63838928	63911019	MARK2
ENSG00000151224	10	80271820	80289658	MAT1A
ENSG00000168906	2	85539168	85545281	MAT2A
ENSG00000132031	2	19992052	20012668	MATN3
ENSG00000125952	14	65006174	65102695	MAX
ENSG00000165471	10	52765380	52771700	MBL2
ENSG00000152601	3	152243828	152465780	MBNL1
ENSG00000197971	18	76978827	77133683	MBP
ENSG00000258839	16	89912119	89920977	MC1R
ENSG00000185231	18	13882044	13915707	MC2R
ENSG00000166603	18	60371062	60372775	MC4R
ENSG00000176136	18	13824149	13827323	MC5R
ENSG00000171444	5	113022099	113488823	MCC
ENSG00000128285	22	40678750	40682814	MCHR1
ENSG00000143384	1	150574551	150579738	MCL1
ENSG00000073111	3	127598410	127622436	MCM2
ENSG00000100297	22	35400134	35425431	MCM5
ENSG00000014641	2	63588609	63607197	MDH1
ENSG00000110492	11	46380756	46383837	MDK
ENSG00000135679	12	68808177	68850686	MDM2
ENSG00000198625	1	204516379	204558120	MDM4
ENSG00000065833	6	83210402	83431051	ME1
ENSG00000082212	18	50879080	50954257	ME2
ENSG00000085276	3	169083499	169663775	MECOM
ENSG00000169057154021573	154137103	MECP2
ENSG00000068305	15	99565417	99716466	MEF2A
ENSG00000081189	5	88717117	88904257	MEF2C
ENSG00000103313	16	3242028	3256627	MEFV
ENSG00000105429	19	42325609	42378769	MEGF8
ENSG00000143995	2	66433452	66573869	MEIS1
ENSG00000134138	15	36889204	37101299	MEIS2
ENSG00000163975	3	196988621	197029817	MELTF
ENSG00000133895	11	64803510	64811294	MEN1
ENSG00000005102	17	43640389	43661922	MEOX1
ENSG00000105976	7	116672196	116798386	MET
ENSG00000140545	15	88898683	88913381	MFGE8
ENSG00000168282	14	49620799	49623481	MGAT2
ENSG00000170430	10	129467190	129770983	MGMT
ENSG00000111341	12	14880864	14885857	MGP
ENSG00000234218	CHR_HSCHR6_MHC_COX_CTG1	31485545	31498583	MICB
ENSG00000227772	CHR_HSCHR6_MHC_SSTO_CTG1	31488846	31501875	MICB
ENSG00000224378	CHR_HSCHR6_MHC_DBB_CTG1	31480101	31493317	MICB
ENSG00000206449	CHR_HSCHR6_MHC_QBL_CTG1	31488393	31501409	MICB
ENSG00000231372	CHR_HSCHR6_MHC_MANN_CTG1	31545102	31550607	MICB
ENSG00000238289	CHR_HSCHR6_MHC_MCF_CTG1	31574447	31587478	MICB
ENSG00000204516	6	31494881	31511124	MICB
ENSG00000231179	CHR_HSCHR6_MHC_APD_CTG1	31561856	31578081	MICB
ENSG0000010187110445310	10833654	MID1
ENSG00000240972	22	23894383	23895227	MIF
ENSG00000276701	CHR_HSCHR22_1_CTG7	23894004	23895227	MIF
ENSG00000135517	12	56449502	56469166	MIP
ENSG00000187098	3	69739435	69968337	MITF
ENSG00000148773	10	128096659	128126423	MKI67
ENSG00000120215	9	5890889	5910606	MLANA
ENSG00000178053	3	158571163	158607252	MLF1
ENSG00000076242	3	36993350	37050846	MLH1
ENSG00000130382	19	6210381	6279975	MLLT1
ENSG00000171843	9	20341669	20622518	MLLT3
ENSG00000196549	3	155024124	155183729	MME
ENSG00000196611	11	102789919	102798160	MMP1
ENSG00000166670	11	102770502	102780628	MMP10
ENSG00000099953	22	23768226	23784316	MMP11
ENSG00000275365	CHR_HSCHR22_1_CTG7	23768226	23784316	MMP11
ENSG00000262406	11	102862736	102874982	MMP12
ENSG00000137745	11	102942995	102955732	MMP13
ENSG00000157227	14	22836560	22849027	MMP14
ENSG00000087245	16	55389700	55506691	MMP2
ENSG00000149968	11	102835801	102843609	MMP3
ENSG00000137673	11	102520508	102530750	MMP7
ENSG00000118113	11	102711796	102727050	MMP8
ENSG00000100985	20	46008908	46016561	MMP9
ENSG00000169184	22	27748277	27801756	MN1
ENSG00000130675	7	156994051	157010663	MNX1
ENSG00000168314	3	39467198	39529479	MOBP
ENSG00000236561	CHR_HSCHR6_MHC_SSTO_CTG1	29657481	29672869	MOG
ENSG00000237834	CHR_HSCHR6_MHC_COX_CTG1	29653572	29668964	MOG
ENSG00000137345	CHR_HSCHR6_MHC_QBL_CTG1	29656888	29672280	MOG
ENSG00000234096	CHR_HSCHR6_MHC_APD_CTG1	29657097	29672487	MOG
ENSG00000232641	CHR_HSCHR6_MHC_MCF_CTG1	29656787	29672153	MOG
ENSG00000230885	CHR_HSCHR6_MHC_MANN_CTG1	29656505	29671893	MOG
ENSG00000234623	CHR_HSCHR6_MHC_DBB_CTG1	29656933	29672325	MOG
ENSG00000204655	6	29657002	29672372	MOG
ENSG00000178802	15	74890005	74902219	MPI
ENSG00000117400	1	43337818	43354466	MPL
ENSG00000005381	17	58269855	58280935	MPO
ENSG00000115204	2	27309492	27325680	MPV17
ENSG00000158887	1	161304735	161309972	MPZ
ENSG00000020922	11	94415578	94493908	MRE11
ENSG00000156738	11	60455752	60470760	MS4A1
ENSG00000095002	2	47403067	47663146	MSH2
ENSG00000113318	5	80654652	80876815	MSH3
ENSG00000116062	2	47695530	47810101	MSH6
ENSG00000135097	12	120341330	120369164	MSI1
ENSG00000263639	10	46033307	46048180	MSMB
ENSG00000038945	8	16107878	16567490	MSR1
ENSG00000175806	8	10054292	10428891	MSRA
ENSG00000285250	CHR_HG76_PATCH	9522867	9898846	MSRA
ENSG00000173531	3	49683947	49689501	MST1
ENSG00000164078	3	49887002	49903873	MST1R
ENSG00000138379	2	190055700	190062729	MSTN
ENSG00000163132	4	4859665	4863936	MSX1
ENSG00000120149	5	174724582	174730896	MSX2
ENSG00000205362	16	56638666	56640087	MT1A
ENSG00000125148	16	56608584	56609497	MT2A
ENSG00000087250	16	56589074	56591088	MT3
ENSG00000099810	9	21802636	21937651	MTAP
ENSG00000100714	14	64388031	64463457	MTHFD1
ENSG00000177000	1	11785723	11806455	MTHFR
ENSG00000171100150568619	150673322	MTM1
ENSG00000168412	4	186533655	186555567	MTNR1A
ENSG00000134640	11	92969720	92985066	MTNR1B
ENSG00000198793	1	11106535	11262551	MTOR
ENSG00000116984	1	236795292	236921278	MTR
ENSG00000124275	5	7851186	7906025	MTRR
ENSG00000138823	4	99563761	99623999	MTTP
ENSG00000185499	1	155185824	155192916	MUC1
ENSG00000278466	CHR_HSCHR11_3_CTG1	1086525	1116069	MUC2
ENSG00000198788	11	1074875	1110511	MUC2
ENSG00000284971	CHR_HG107_PATCH	1075018	1112365	MUC2
ENSG00000277585	CHR_HSCHR3_1_CTG3	195746765	195819600	MUC4
ENSG00000276613	CHR_HSCHR3_8_CTG3	195747140	195791872	MUC4
ENSG00000278468	CHR_HSCHR3_4_CTG3	195746774	195792809	MUC4
ENSG00000273822	CHR_HSCHR3_3_CTG3	195744429	195789161	MUC4
ENSG00000273984	CHR_HSCHR3_7_CTG3	195745705	195790439	MUC4
ENSG00000278303	CHR_HSCHR3_5_CTG3	195744993	195789727	MUC4
ENSG00000275164	CHR_HSCHR3_6_CTG3	195747176	195811179	MUC4
ENSG00000145113	3	195746765	195811973	MUC4
ENSG00000277518	CHR_HSCHR11_2_CTG1	1012821	1043528	MUC6
ENSG00000277281	CHR_HSCHR11_3_CTG1	1019669	1048356	MUC6
ENSG00000184956	11	1012823	1036718	MUC6
ENSG00000283350	CHR_HG107_PATCH	1012823	1036718	MUC6
ENSG00000171195	4	70430492	70482997	MUC7
ENSG00000030304	9	110668779	110806558	MUSK
ENSG00000132781	1	45329163	45340893	MUTYH
ENSG00000110921	12	109573255	109598125	MVK
ENSG00000157601	21	41420304	41459214	MX1
ENSG00000119950	10	110207605	110287365	MXI1
ENSG00000118513	6	135181308	135219173	MYB
ENSG00000185697	8	66562175	66614247	MYBL1
ENSG00000196091	12	101568353	101686028	MYBPC1
ENSG00000134571	11	47331406	47352702	MYBPC3
ENSG00000136997	8	127735434	127742951	MYC
ENSG00000116990	1	39895426	39902256	MYCL
ENSG00000134323	2	15940550	15947007	MYCN
ENSG00000172936	3	38138478	38143022	MYD88
ENSG00000125414	17	10521148	10549700	MYH2
ENSG00000109063	17	10628526	10657309	MYH3
ENSG00000197616	14	23381982	23408273	MYH6
ENSG00000171428	8	18170477	18223689	NAT1
ENSG00000156006	8	18391282	18401218	NAT2
ENSG00000130287	19	19211958	19252233	NCAN
ENSG00000198888	MT	3307	4262	ND1
ENSG00000198840	MT	10059	10404	ND3
ENSG00000198886	MT	10760	12137	ND4
ENSG00000198786	MT	12337	14148	ND5
ENSG00000198695	MT	14149	14673	ND6
ENSG00000070614	5	150485818	150558211	NDST1
ENSG00000183072	5	173232109	173235311	NKX2-5
